@relation zou
@attribute SMV real
@attribute X real
@attribute Y real
@attribute Z real
@attribute SMV-Z real
@attribute Azimuth real
@attribute Pitch real
@attribute Roll real
@attribute SMV-H real
@attribute gyr-a real
@attribute gyr-b real
@attribute gyr-c real
@attribute SMV-gyr real
@attribute class {zou,pao,jing,diedao,zhuan}
@data
8.690775098015083,1.5258260574285687,-5.854062566318124,-6.239501431715833,-6.62315506614028,75.1710 ,36.4436 ,6.7744 ,11.60685241938641,4.1470 ,-0.2636 ,-0.6305 ,4.202930431258648,zou
8.074124240023448,3.401272759149596,0.9047457425013405,-7.26665404451229,-6.54828838213213,74.4942 ,37.6265 ,6.9970 ,5.856059421115663,4.0772 ,-1.3904 ,-0.1562 ,4.310588177963653,zou
7.637261101562245,0.7571212582002664,1.0325352714943756,-7.529169638608035,-8.425000509748024,74.3022 ,38.6439 ,6.9965 ,5.1793080740278254,2.4484 ,3.4261 ,-0.1370 ,4.213263909370027,zou
7.140775325151943,-2.373914647623807,1.3050621483278748,-6.60696710140877,-9.779375419085653,74.0759 ,39.6770 ,6.9285 ,5.234015598145758,1.1994 ,3.5036 ,-1.2597 ,3.9116003643010364,zou
6.155838559428677,-0.3409005806644956,3.0117016440929363,-5.357964946770316,-7.698397756533324,73.5879 ,40.7869 ,6.7835 ,3.373938060661078,-0.1005 ,1.5128 ,-1.1523 ,1.9043264898645926,zou
2.324084231249182,1.9194144494266001,0.2486240692527888,-1.2866241710234059,-3.0227164898354797,73.1212 ,41.8621 ,6.5211 ,6.062626645685353,-2.0064 ,0.4838 ,-0.5399 ,2.1333530907939267,zou
10.138216892951345,2.96329407018013,-9.4684548160573,2.0858315891846706,1.074206343623663,72.5216 ,42.8774 ,6.1934 ,15.528722181893087,-3.0049 ,0.1314 ,-0.5412 ,3.0560738554557223,zou
2.938631124443659,0.0929051167421946,-2.453226055102923,1.6151171621267215,-1.9459392858004616,72.0061 ,43.7824 ,5.7375 ,9.953556528509688,0.2412 ,1.2388 ,-0.5140 ,1.3627174615451287,zou
7.58018346824087,-0.10922223080453775,-4.618552196900581,-6.009677821730135,-7.196873104116169,71.3973 ,44.6515 ,5.2227 ,11.255324482958134,1.3264 ,1.8687 ,-0.3514 ,2.3183741307217867,zou
6.437148619615763,-1.3368275824437332,-2.6423856459015624,-5.715555306719737,-8.029541485965797,70.6541 ,45.3953 ,4.8187 ,9.550548145643381,0.8018 ,-1.0304 ,-0.1973 ,1.3204297368659947,zou
3.619879805903265,3.165111692513051,0.4940657216899016,1.6856740034047117,-17.713721904247944,163.2546 ,106.7985 ,10.7140 ,4.932731740057967,-0.2695 ,-1.7074 ,0.9658 ,1.9800542038035223,zou
6.509686300507078,2.886832345466792,-2.336749403965557,-5.346196495008656,-4.762102258913061,69.5414 ,45.3498 ,4.8753 ,8.694207293551505,-1.4630 ,-5.1792 ,0.7649 ,5.435950114745351,zou
7.544940331148696,2.5204489614241723,1.1890673080793963,-7.011389346649267,-6.784956208130717,69.7864 ,44.6714 ,5.4098 ,5.787548952588905,-2.0317 ,-2.9889 ,0.3603 ,3.6319614796966118,zou
6.5418036880249675,1.770846775338684,-0.61822339243452,-6.267144248218354,-6.571351466627959,70.6447 ,43.5705 ,6.1528 ,7.13731084375306,-2.0428 ,-2.1592 ,0.5392 ,3.020912630315548,zou
